EZPix Secure Photo Album,application/vnd.ezpix-package,.ez3,IANA: EZPix Secure Photo Album,application,.ez3
FAST Search & Transfer ASA,image/vnd.fst,.fst,IANA: FAST Search & Transfer ASA,image,.fst
FAST Search & Transfer ASA,video/vnd.fvt,.fvt,IANA: FVT,video,.fvt
FastBid Sheet,image/vnd.fastbidsheet,.fbs,IANA: FastBid Sheet,image,.fbs
FCS Express Layout Link,application/vnd.denovo.fcselayout-link,.fe_launch,IANA: FCS Express Layout Link,application,.fe_launch
Flash Video,video/x-f4v,.f4v,Wikipedia: Flash Video,video,.f4v
Flash Video,video/x-flv,.flv,Wikipedia: Flash Video,video,.flv
FlashPix,image/vnd.fpx,.fpx,IANA: FPX,image,.fpx
FlashPix,image/vnd.net-fpx,.npx,IANA: FPX,image,.npx
FLEXSTOR,text/vnd.fmi.flexstor,.flx,IANA: FLEXSTOR,text,.flx
FLI/FLC Animation Format,video/x-fli,.fli,FLI/FLC Animation Format,video,.fli
FluxTime Clip,application/vnd.fluxtime.clip,.ftc,IANA: FluxTime Clip,application,.ftc
Forms Data Format,application/vnd.fdf,.fdf,IANA: Forms Data Format,application,.fdf
Fortran Source File,text/x-fortran,.f,Wikipedia: Fortran,text,.f
FrameMaker Interchange Format,application/vnd.mif,.mif,IANA: FrameMaker Interchange Format,application,.mif
FrameMaker Normal Format,application/vnd.framemaker,.fm,IANA: FrameMaker,application,.fm
FreeHand MX,image/x-freehand,.fh,Wikipedia: Macromedia Freehand,image,.fh
Friendly Software Corporation,application/vnd.fsc.weblaunch,.fsc,IANA: Friendly Software Corporation,application,.fsc
Frogans Player,application/vnd.frogans.fnc,.fnc,IANA: Frogans Player,application,.fnc
Frogans Player,application/vnd.frogans.ltf,.ltf,IANA: Frogans Player,application,.ltf
Fujitsu - Xerox 2D CAD Data,application/vnd.fujixerox.ddd,.ddd,IANA: Fujitsu DDD,application,.ddd
Fujitsu - Xerox DocuWorks,application/vnd.fujixerox.docuworks,.xdw,IANA: Docuworks,application,.xdw
Fujitsu - Xerox DocuWorks Binder,application/vnd.fujixerox.docuworks.binder,.xbd,IANA: Docuworks Binder,application,.xbd
Fujitsu Oasys,application/vnd.fujitsu.oasys,.oas,IANA: Fujitsu Oasys,application,.oas
Fujitsu Oasys,application/vnd.fujitsu.oasys2,.oa2,IANA: Fujitsu Oasys,application,.oa2
Fujitsu Oasys,application/vnd.fujitsu.oasys3,.oa3,IANA: Fujitsu Oasys,application,.oa3
Fujitsu Oasys,application/vnd.fujitsu.oasysgp,.fg5,IANA: Fujitsu Oasys,application,.fg5
Fujitsu Oasys,application/vnd.fujitsu.oasysprs,.bh2,IANA: Fujitsu Oasys,application,.bh2
FutureSplash Animator,application/x-futuresplash,.spl,Wikipedia: FutureSplash Animator,application,.spl
